id;url;from_item
1;https://www.farpost.ru/user/VladVekt/auto/;
2;https://www.farpost.ru/user/Aniku/auto/;
3;https://www.farpost.ru/user/VershinaDV25/auto/wheel/;
4;https://www.farpost.ru/user/vershina08/auto/wheel/;
5;https://www.farpost.ru/user/SHINDIKAT/auto/wheel/;/vladivostok/auto/wheel/tire/novye-firemax-fm523-265-65r17-lt-vo-vladivostoke-85053475.html
6;https://www.farpost.ru/user/VladVekt/auto/;
7;https://www.farpost.ru/user/roksidi/auto/;/vladivostok/auto/wheel/tire/shiny-lt-durun-195r15-c232-x-85162778.html
8;https://www.farpost.ru/user/shintop125/auto/wheel/;
9;https://www.farpost.ru/user/JAPANSHINA125/auto/wheel/;
10;https://www.farpost.ru/user/VladVekt/auto/;